interaction_id,user_id,product_id,interaction,timestamp,session_id,device,rating_given
I0000001,U02890,P000391,view,2025-07-30T06:20:20.800219,288e0113,mobile,
I0000002,U01411,P007690,view,2025-09-04T03:25:20.800219,fe332d99,desktop,
I0000003,U03064,P008331,click,2025-09-21T16:04:20.800219,6782aca4,mobile,
I0000004,U01181,P004683,click,2025-11-19T17:58:20.800219,1cc6edad,mobile,
I0000005,U03762,P007383,view,2025-05-22T06:41:20.800219,b82e16a2,tablet,
I0000006,U02727,P001224,click,2026-04-12T10:58:20.800219,87f71a2c,mobile,
I0000007,U04991,P003360,click,2025-06-19T09:01:20.800219,e0546692,mobile,
I0000008,U02400,P006706,click,2025-09-20T22:21:20.800219,f28b3807,desktop,
I0000009,U05129,P006421,click,2026-04-27T20:48:20.800219,85c5c0c3,desktop,
I0000010,U01895,P007695,add_to_cart,2026-04-22T23:55:20.800219,a1db60e7,tablet,
I0000011,U02605,P005543,add_to_cart,2025-09-12T21:31:20.800219,3c0a1737,desktop,
I0000012,U03015,P009184,click,2026-02-04T06:06:20.800219,b947c2f5,desktop,
I0000013,U04620,P004270,add_to_cart,2025-06-18T10:24:20.800219,5b532ea5,desktop,
I0000014,U04338,P006013,view,2026-01-13T07:00:20.800219,4248201b,mobile,
I0000015,U03355,P009359,view,2025-06-03T18:23:20.800219,e7df5bf1,tablet,
I0000016,U00666,P007788,add_to_cart,2025-07-02T23:35:20.800219,c4801d41,tablet,
I0000017,U04870,P010028,view,2025-11-02T02:37:20.800219,1843ae84,tablet,
I0000018,U03758,P006184,click,2026-01-27T16:17:20.800219,21e636e1,mobile,
I0000019,U03208,P003397,view,2025-11-12T01:34:20.800219,58ed3175,desktop,
I0000020,U03443,P005813,click,2025-09-25T11:13:20.800219,eafcb941,desktop,
I0000021,U04035,P001076,click,2026-01-11T06:03:20.800219,0cca8123,desktop,
I0000022,U01086,P007678,add_to_cart,2025-09-18T16:36:20.800219,e22e50e1,tablet,
I0000023,U01840,P009504,click,2026-03-24T04:29:20.800219,c3a9b9e9,tablet,
I0000024,U03451,P010028,wishlist,2026-01-16T12:19:20.800219,e09c2727,desktop,
I0000025,U00974,P003009,view,2025-10-10T18:45:20.800219,6cf50e1b,mobile,
I0000026,U04318,P004523,click,2025-11-22T07:26:20.800219,dc807c88,mobile,
I0000027,U01423,P005956,click,2026-05-03T03:11:20.800219,ea1234a5,mobile,
I0000028,U01678,P007808,click,2025-10-06T09:07:20.800219,825069f7,desktop,
I0000029,U00623,P001080,wishlist,2025-10-13T02:14:20.800219,849d0607,mobile,
I0000030,U04159,P003157,purchase,2025-06-13T01:13:20.800219,047a224b,mobile,2.8
I0000031,U02693,P001189,purchase,2026-03-11T02:37:20.800219,efafab7d,tablet,2.2
I0000032,U01163,P000948,view,2025-08-15T11:17:20.800219,4c5a29f1,tablet,
I0000033,U00341,P000472,add_to_cart,2026-02-02T04:11:20.800219,8b6d5808,mobile,
I0000034,U02691,P008930,click,2026-01-18T15:00:20.800219,1c59ae1a,tablet,
I0000035,U01267,P009778,click,2025-07-21T08:54:20.800219,edd4aa39,mobile,
I0000036,U04325,P006514,wishlist,2026-04-05T05:26:20.800219,7b36cf80,tablet,
I0000037,U04340,P003017,view,2026-05-05T20:51:20.800219,1cc6a39c,tablet,
I0000038,U01785,P009515,wishlist,2025-07-06T21:28:20.800219,095cc55c,desktop,
I0000039,U01198,P010275,wishlist,2026-05-03T11:46:20.800219,15e8d8e2,mobile,
I0000040,U02787,P001295,add_to_cart,2026-04-29T09:55:20.800219,f0c0a4e1,tablet,
I0000041,U00836,P004238,purchase,2025-10-28T00:20:20.800219,2b2fe12f,mobile,4.2
I0000042,U02547,P004900,click,2025-12-11T04:47:20.800219,a5172112,tablet,
I0000043,U04411,P005489,view,2025-09-12T19:22:20.800219,84dc8ca6,desktop,
I0000044,U03870,P000768,wishlist,2025-10-24T08:28:20.800219,43191c4a,desktop,
I0000045,U04156,P008400,view,2026-04-17T02:47:20.800219,ab8d6752,mobile,
I0000046,U00545,P008102,click,2025-06-13T00:32:20.800219,39a9afe7,tablet,
I0000047,U04208,P004226,view,2025-10-12T17:01:20.800219,83dc9a5c,tablet,
I0000048,U00983,P009039,add_to_cart,2025-06-15T11:35:20.800219,bb651948,tablet,
I0000049,U03858,P005679,click,2026-03-28T07:49:20.800219,0f08c9c2,desktop,
I0000050,U04520,P000948,click,2025-06-06T17:09:20.800219,e82755da,tablet,
I0000051,U02559,P001972,view,2025-07-24T19:51:20.800219,af677364,mobile,
I0000052,U00648,P006840,wishlist,2025-07-13T01:27:20.800219,a8560776,mobile,
I0000053,U03007,P004161,view,2025-11-03T17:07:20.800219,8bd8c165,mobile,
